year,"Crude Oil Production, 48 States","Crude Oil Production, Alaska","Crude Oil Production, Total",Natural Gas Liquids Production,Total Petroleum Field Production,Renewable Fuels and Oxygenate Plant Net Production,Petroleum Processing Gain,Petroleum Imports,Petroleum Exports,Petroleum Net Imports,Petroleum Stock Change,Petroleum Adjustments,Petroleum Products Supplied
1949,5.046411,0,5.046411,0.430373,5.476783999999999,NA,-0.001603,0.6453669999999999,0.327058,0.31831,-0.007814,-0.038266,5.763038
1950,5.407051999999999,0,5.407051999999999,0.49852300000000005,5.905575,NA,0.001951,0.85003,0.304948,0.545082,-0.055915,-0.050605,6.457917999999999
1951,6.158112,0,6.158112,0.5609700000000001,6.719082,NA,0.007255,0.844367,0.42206,0.42230700000000004,0.101345,-0.031167,7.016132
1952,6.256383,0,6.256383,0.610697,6.8670789999999995,NA,0.006973,0.9522050000000001,0.43220800000000004,0.5199969999999999,0.10832,-0.016111999999999998,7.269617
1953,6.457759,0,6.457759,0.6536409999999999,7.1114,NA,0.019681999999999998,1.034244,0.401619,0.632625,0.141789,-0.02229,7.599627000000001
1954,6.342433,0,6.342433,0.690775,7.033207999999999,NA,0.0232,1.051932,0.355433,0.696499,-0.02897,-0.025844000000000002,7.756033
1955,6.806652,0,6.806652,0.770879,7.577532,NA,0.033852,1.248121,0.36763799999999996,0.880482,-2.03e-4,-0.036721,8.455348
1956,7.151046,0,7.151046,0.7998010000000001,7.9508469999999996,NA,0.042906999999999994,1.436041,0.430016,1.006025,0.179049,-0.04553,8.775199
1957,7.169592,0,7.169592,0.808192,7.977784,NA,0.041532,1.5742159999999998,0.5676359999999999,1.006581,0.16692099999999999,-0.049964,8.809011
1958,6.709553,0,6.709553,0.807532,7.517085,NA,0.06354,1.7002439999999999,0.275721,1.424523,-0.14002699999999998,-0.027386,9.117789
1959,7.053159,5.12e-4,7.0536710000000005,0.878786,7.932458,NA,0.086326,1.779679,0.211142,1.568537,0.050737000000000004,-0.010082,9.526501
1960,7.033809,0.001527,7.035336,0.929391,7.964727,NA,0.14557900000000001,1.814511,0.201929,1.6125820000000002,-0.08260899999999999,-0.008175,9.797322
1961,7.165564000000001,0.017334,7.182899,0.990929,8.173827000000001,NA,0.179258,1.916893,0.17414500000000002,1.742748,0.111003,-0.008721,9.97611
1962,7.3039179999999995,0.028107,7.332025,1.02111,8.353134,NA,0.175071,2.081625,0.168192,1.913433,0.032314999999999997,-0.009244,10.400079
1963,7.512282,0.029425,7.541707000000001,1.098318,8.640025,NA,0.20194499999999999,2.122501,0.207984,1.914518,0.00346,-0.009564,10.743463
1964,7.584052,0.030216,7.614268,1.1542919999999999,8.768559999999999,NA,0.216762,2.258842,0.20185499999999998,2.0569859999999998,0.010044,-0.009762,11.022503
1965,7.77366,0.030488,7.8041480000000005,1.2097419999999999,9.01389,NA,0.219838,2.4678679999999997,0.18709,2.2807779999999998,-0.007921000000000001,-0.009992000000000001,11.512436
1966,8.255904000000001,0.039337000000000004,8.295241,1.283934,9.579175,NA,0.245301,2.573047,0.198356,2.37469,0.104441,-0.010353,12.084373
1967,8.730455,0.07979699999999999,8.810252,1.4094659999999999,10.219718,NA,0.29203300000000004,2.536962,0.307014,2.229948,0.172619,-0.008734,12.560345
1968,8.914858,0.180885,9.095743,1.5035820000000002,10.599325,NA,0.318828,2.839806,0.230995,2.608811,0.15153299999999997,0.017434,13.392866
1969,9.035063000000001,0.20261099999999999,9.237674,1.589701,10.827375,NA,0.335375,3.165893,0.23256200000000002,2.933332,-0.047805,-0.007093,14.136795
1970,9.407763999999998,0.229085,9.636849,1.660044,11.296893,NA,0.359047,3.419348,0.258789,3.160559,0.103392,-0.015920999999999998,14.697186
1971,9.244986,0.217792,9.462778,1.692644,11.155422,NA,0.38200799999999996,3.9256990000000003,0.22423300000000002,3.701466,0.071468,0.045066,15.212493
1972,9.241735,0.199161,9.440896,1.74376,11.184656,NA,0.388418,4.741295,0.222374,4.518921000000001,-0.232153,0.042836,16.366984
1973,9.009808000000001,0.19814500000000002,9.207953,1.738145,10.946099,NA,0.453392,6.256145,0.231268,6.024877,0.13514500000000002,0.018458,17.307679
1974,8.580772999999999,0.193433,8.774205,1.68794,10.462145,NA,0.480151,6.112184,0.220523,5.89166,0.179011,-0.002236,16.65271
1975,8.183411,0.191326,8.374737,1.632762,10.007499,NA,0.459677,6.055712000000001,0.209392,5.846321,0.032436,0.040899,16.321959
1976,7.958421,0.17321899999999998,8.131639,1.6039480000000002,9.735586999999999,NA,0.477254,7.312598,0.222948,7.08965,-0.057773000000000005,0.100801,17.461066
1977,7.780997,0.46356400000000003,8.244562,1.617685,9.862247,NA,0.5244249999999999,8.807249,0.242707,8.564542,0.548192,0.028397,18.431419000000002
